,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
723,LibDemsLuton,2,0,2,1092,0,1092,0,0,0,0,75,5.50E-05,4.00E-05,0,0,889,0,0.011522,jc4southsuffolk
724,JaxDress,1,0,1,160,0,160,0,0,0,0,75,5.20E-05,0,0,0,888,0,0.005761,wscutt
725,InspireFMLuton,1,0,1,1827,0,1827,0,0,0,0,75,5.20E-05,0,0,0,887,0,0.005761,DavidGauke
726,Bridgen2far,1,0,1,373,0,373,0,0,0,0,75,5.20E-05,0,0,0,886,0,0.005761,Jeremy_Hunt
727,roushamnet,2,0,2,709,0,709,0,0,0,0,75,5.70E-05,9.00E-06,0,0,885,0,0.011522,trevorcarbin
728,MK11RBS,1,0,1,511,0,511,0,0,0,0,75,5.20E-05,0,0,0,884,0,0.005761,EleanorBell2015
729,hefferniana,1,0,1,43,0,43,0,0,0,0,75,5.20E-05,0,0,0,883,0,0.005761,ThomasGravatt
730,StephenGethins,0,19,19,0,175989,175989,1,1,1,0,104,4.60E-05,0,0.000687,0,907,0,0,_domellis
731,ebreah,2,0,2,1858,0,1858,0,0,0,0,104,5.00E-05,7.40E-05,0,0,906,0,0.011522,SpelthorneLabPy
732,alexmassie,1,0,1,35640,0,35640,0,0,0,0,104,4.80E-05,4.90E-05,0,0,905,0,0.005761,DerekThomasUK
733,mfnmelb1,1,0,1,1452,0,1452,0,0,0,0,104,4.80E-05,4.90E-05,0,0,904,0,0.005761,ctinker2
734,mcleod_sasha,1,0,1,539,0,539,0,0,0,0,104,4.80E-05,4.90E-05,0,0,903,0,0.005761,chriswkane
735,blackearnside,1,0,1,120,0,120,0,0,0,0,104,4.80E-05,4.90E-05,0,0,902,0,0.005761,anncoffey_mp
736,AlanRyley,2,0,2,380,0,380,0,0,0,0,104,4.90E-05,9.80E-05,0,0,901,0,0.011522,StockportGreens
737,johnstruan_john,2,0,2,418,0,418,0,0,0,0,104,5.00E-05,0.000464,0,0,900,0,0.011522,DanielJellyman
738,iccjock06,2,0,2,2229,0,2229,0,0,0,0,104,5.10E-05,7.80E-05,0,0,899,0,0.011522,DougRouxel
739,MediaWeasel,1,0,1,2905,0,2905,0,0,0,0,104,4.80E-05,4.90E-05,0,0,898,0,0.005761,JimShannonMP
740,Kimmydoll49,4,0,4,7561,0,7561,0,0,0,0,104,5.20E-05,0.000331,0,0,897,0,0.031767,DavidEDrew
741,fiona_fionnagal,3,0,3,3966,0,3966,0,0,0,0,104,5.20E-05,0.000142,0,0,896,0,0.017283,james4suffolk
